Column A,Column B
59525,471025
59625,690533
59652,422640
59751,660338
59804,427573
60105,842431
60253,485845
60482,117552
60613,142820
60686,660214
60720,875531
60797,215439
60842,846692
60966,854341
61085,124115
61279,466428
61651,518115
61679,292167
61734,627177
61840,936358
61923,282153
61935,928871
62002,759012
62009,697285
62114,885512
62260,50972
62270,608371
62307,467933
62533,869536
62623,896924
62748,142804
62766,306810
62796,915700
62942,281878
63027,825292
63045,156458
63059,467591
63227,353017
63241,919762
63245,315736
63368,575375
63407,907595
63521,363651
63575,170754
63748,605917
63865,477610
64096,859262
64289,869993
64459,360848
64503,129226
64601,43261
64623,455738
64707,739622
64739,545060
64770,520119
64790,217076
64814,899901
64918,736588
65061,978275
65063,735079
65245,657910
65342,161269
65633,977354
65705,285508
65735,881247
65815,763720
65953,690388
65972,151573
66313,609898
66388,782309
66391,310824
66459,632612
66527,391640
66625,456706
66646,548499
66738,498244
66802,411078
66886,830073
66984,602526
67200,872031
67297,557174
67351,719459
67517,819051
67845,633915
67931,743423
67982,607926
68184,286229
68350,376239
68524,648637
68764,511305
68808,290192
68871,238707
68912,372682
68951,961315
69072,67133
69130,760531
69227,645671
69506,397168
69527,138432
69529,648228
69756,785648
69799,383352
69845,861476
69900,793829
70186,602133
70261,873825
70371,830341
70684,903904
70886,26552
70980,102051
71028,347307
71051,497433
71106,352561
71141,371009
71149,50121
71255,18481
71276,668592
71308,603500
71318,398059
71522,562024
71554,441757
71566,323635
71582,304327
71589,78813
71747,591494
71986,917681
71992,590250
72041,856270
72074,476269
72191,812188
72358,840668
72422,870220
72470,921934
72599,865923
72954,104534
73043,950711
73071,287007
73198,666375
73224,34495
73495,76744
73525,939649
73947,352595
74022,875534
74074,684418
74133,293251
74171,854160
74181,833105
74216,961283
74391,174150
74397,699684
74528,762817
74719,280811
74886,134576
75249,673498
75351,278255
75459,683199
75484,970876
75533,743023
75574,661243
75703,794832
75713,223949
75759,405684
75874,124653
76048,696606
76154,462732
76213,805901
76255,863795
76317,909406
76336,135253
76390,659745
76509,400295
76513,750212
76589,716516
76853,141439
77001,916507
77008,179922
77124,232019
77201,421903
77351,880809
77370,524745
77477,1018
77499,888701
77515,960515
77930,868656
78049,929363
78157,785528
78195,709476
78218,377773
78240,534366
78240,623444
78361,517341
78388,647064
78394,323600
78423,744496
78545,817439
78707,559487
78918,899244
78919,987530
79066,200001
79121,123729
79240,794823
79265,545301
79310,626704
79321,831208
79364,824851
79382,564685
79505,266430
79836,271242
79857,168431
80135,684167
80415,178733
80419,402010
80575,864321
80665,226194
80802,814114
80930,485399
81087,286760
81097,3520
81111,394940
81195,166140
81447,321639
81656,717115
81693,797085
82126,358872
82232,764066
82295,992484
82353,332714
82563,491364
82645,121236
83025,621520
83047,771896
83155,218107
83271,292543
83346,40344
83646,604043
83700,7298
83723,571650
83758,661303
83810,443522
83875,387038
84110,765742
84189,848517
84321,837690
84395,517686
84417,290094
84498,303018
84533,387993
84813,152185
84933,368735
84946,897213
85161,533939
85179,636168
85320,652492
85701,283095
85753,440050
85862,55696
85922,384830
85975,74137
85984,755938
85992,574109
86055,428065
86124,875544
86228,898245
86313,642753
86371,801717
86478,665541
86529,498132
86636,137694
86671,583314
86700,213338
86742,50505
86988,477184
87049,149102
87124,424915
87243,975598
87372,102356
87471,54090
87538,790475
87608,957466
87736,222710
87806,101302
88092,737537
88172,417440
88196,32623
88249,530376
88312,435438
88326,490634
88501,814436
88584,700471
88631,967790
88657,717246
88718,915077
88780,974193
88910,73403
89018,506065
89318,934469
89369,360131
89734,189660
89892,431510
90322,216246
90549,551578
90553,330911
90826,402952
91000,573979
91010,311248
91064,381654
91181,338876
91204,752326
91272,577449
91273,251165
91427,413658
91433,220529
91434,295542
91452,137611
91505,282435
91731,74825
91734,61364
91829,710123
91842,31408
91909,97811
91932,280885
91934,94663
91978,398102
92335,944406
92514,380604
92659,749907
92683,197860
92878,686604
93047,219269
93061,451155
93203,820422
93338,938078
93665,139605
93765,405978
93797,297999
93813,640463
93895,338092
93934,680584
93962,717339
94233,626950
94325,56483
94345,4126
94362,846994
94552,16334
94751,239191
94753,577529
94761,811311
95153,26744
95178,234853
95207,236955
95210,129120
95234,582421
95379,163124
95644,985232
95697,609210
95707,992340
95757,146527
95765,583786
95817,400537
96068,959795
96139,854700
96155,628821
96186,127721
96213,28213
96238,326321
96351,697989
96425,323966
96580,318278
96685,563656
96719,792619
96891,939347
97054,114747
97221,321974
97238,455816
97386,987232
97425,585661
97453,675900
97629,222590
97843,768262
97905,682071
98054,532456
98306,881392
98449,932614
98637,902558
98894,230826
98902,236850
99029,520778
99063,302055
99472,703610
99788,719528
99873,967748
100039,696608
100044,272623
100086,606123
100140,374547
100296,736493
100352,370286
100406,392547
100448,243266
100494,955897
100531,372975
100606,253510
100722,921759
100736,196630
100795,777290
100831,67001
100997,613524
101475,255913
101507,667797
101631,302416
101632,391004
101764,945006
101807,223113
102108,899916
102268,873434
102310,187120
102313,188711
102375,777735
102527,633565
102655,80861
102744,683569
102770,151944
102990,994398
103098,720827
103163,647610
103178,512551
103211,272146
103271,7540
103760,588352
103831,877697
103962,76404
104192,200694
104262,978219
104273,349401
104286,835724
104406,838720
104556,911664
104861,963187
104873,538511
104971,479778
104990,789048
105024,362719
105083,915200
105110,664150
105184,538902
105518,82533
105613,921890
105668,7320
105703,341144
105728,649365
105754,343768
105777,643572
105828,771648
105861,487615
106072,187872
106079,539620
106304,754302
106430,198926
106501,12457
106503,349754
106552,401894
106770,464851
106800,554069
106841,617949
106890,579575
107026,205247
107030,531583
107049,634165
107114,980191
107196,517785
107200,155949
107207,426928
107286,561343
107332,557836
107536,499150
107539,625087
107554,800099
107582,522610
107673,276342
107966,701216
108125,290087
108189,7648
108300,568691
108369,182684
108625,526720
108645,516985
108712,599000
108780,761169
108860,710486
109009,55992
109385,917111
109450,928033
109539,440948
109709,286693
109798,131827
109812,362068
109874,829992
109894,314668
110059,195045
110316,8998
110328,353150
110369,201620
110472,985344
110509,514291
110619,825951
110666,764011
110743,210996
110809,813230
110830,67862
111141,387329
111177,287705
111395,56035
111476,940907
111488,600680
111513,20768
111684,565824
112138,645539
112394,311921
112432,3078
112484,473734
112507,199466
112540,671781
112852,628424
112896,39835
112922,27852
113035,989205
113132,235165
113142,252211
113347,480863
113451,832466
113614,921173
113677,943498
113775,389005
114094,16602
114161,669339
114246,612101
114274,498567
114544,613425
114747,430108
114827,612498
114835,154583
114839,52376
115055,598970
115166,133026
115259,292885
115299,170835
115392,184396
115463,7786
115482,33707
115660,246487
115808,637356
115979,74943
116338,379637
116409,54089
116416,527323
116749,778564
116846,329754
116867,121595
116992,967527
117067,939861
117085,857599
117179,585115
117328,736713
117402,85374
117440,644191
117547,58679
117616,709921
117659,225383
117709,689199
117944,849920
118008,438781
118009,904759
118136,871449
118196,96948
118208,967442
118219,438360
118283,843956
118306,851581
118447,698985
118542,787557
118578,86515
118874,944554
119055,696678
119086,581257
119124,248492
119193,775513
119310,867157
119325,486616
119417,683076
119575,93173
119582,504744
119681,118635
119770,716394
119906,837251
119912,554087
120089,706357
120224,230055
120351,55502
120736,749525
120876,662990
121108,616813
121143,128365
121191,967568
121364,230775
121429,608104
121535,494002
121560,169646
121797,623702
122080,53351
122109,804348
122110,548399
122161,668015
122262,535133
122297,784823
122484,430247
122493,917038
122690,909564
122844,195657
122855,306669
123006,906169
123027,476634
123045,178892
123094,809349
123293,6255
123379,549840
123394,340992
123411,6274
123421,920684
123424,557182
123723,951548
123976,643231
124026,63096
124225,545735
124258,81154
124362,548330
124586,223697
124704,313864
124736,456453
124861,804553
124881,180549
124909,862471
125094,198997
125200,812220
125215,357199
125268,391455
125420,918852
125450,557298
125580,189598
125831,740813
126058,200588
126065,105249
126212,961882
126621,22504
126635,848206
126674,306487
126852,808018
126897,722712
127021,645812
127024,470899
127144,480960
127181,4765
127598,443175
127755,484749
127932,325248
127940,99
127989,406449
128011,123161
128096,190196
128124,563388
128230,737577
128232,194607
128395,242392
128450,808469
128456,270102
128586,124990
128640,813678
128645,697444
128669,567683
128685,647526
128748,855244
128837,664756
129094,253002
129244,286972
129451,185828
129475,695040
129539,210373
129889,414622
129898,792721
129923,228178
129927,586313
130220,415859
130245,826686
130270,725129
130480,102913
130756,603445
130980,65249
131126,541555
131298,670969
131381,49688
131689,731393
131704,94795
131948,5438
131963,736363
132104,893536
132203,646586
132227,237764
132278,762812
132405,414853
132540,643302
132577,629302
132659,970745
132838,609527
132866,881725
133006,727482
133219,533669
133239,180006
133304,433077
133306,365086
133411,714470
133471,93382
133485,758701
134080,528467
134145,23317
134241,131185
134273,46514
134372,586116
134445,378818
134462,112063
134578,811697
134734,24773
134827,39805
134936,886613
134957,307142
135035,264135
135036,385917
135214,681207
135296,629402
135319,719540
135319,745023
135341,129332
135468,534828
135567,714876
135577,603896
135716,292262
135717,983548
136026,306448
136822,107857
136895,896501
137074,72971
137075,192532
137159,228439
137313,522281
137547,66370
137776,451911
137867,485612
137906,124746
137906,78239
137928,299898
138191,222002
138217,844454
138342,783714
138389,996638
138419,24862
138465,6374
138525,3758
138570,363926
138573,298653
138590,9987
138702,195244
138710,705774
138968,963520
139203,526387
139304,366480
139421,661268
139662,731735
139775,413321
139794,284206
140160,329670
140517,605940
140688,270175
140794,330480
140835,335591
140948,544073
141063,821540
141213,650835
141218,706786
141286,956249
141594,74414
141768,144547
142044,116954
142193,558901
142302,115209
142582,259718
142680,818015
142705,569381
142732,978356
142817,571924
142848,314877
142924,77597
143065,584576
143124,369622
143186,698641
143189,719373
143338,376810
143439,581994
143446,109693
143454,991645
143534,432230
143582,867726
143589,134492
143653,189530
143659,579371
143787,394468
143858,918584
144114,28336
144147,995967
144404,369371
144482,186225
144520,682288
144765,673687
144900,598779
144906,567835
145089,821225
145171,515810
145179,261703
145193,363351
145228,200404
145242,542281
145296,980698
145303,575907
145406,58320
145443,86435
145764,609116
145808,626181
145898,781557
145971,772900
145999,281857
146027,264240
146206,236912
146229,783048
146324,27499
146456,245824
146463,550381
146621,314943
146622,150814
146645,439395
146811,809448
146894,291885
146905,249748
146945,325337
147065,373175
147159,908292
147182,233285
147297,522907
147476,980527
147484,730494
147818,928041
147988,480848
148282,308653
148405,151258
148434,1191
148444,409511
148454,765783
148506,543900
148706,295347
148706,527804
148745,603493
148888,638187
149130,695698
149447,770794
149569,277526
149629,645498
149879,866913
149903,856562
149934,478815
149934,402118
150040,170598
150219,70825
150264,444816
150307,293895
150312,622070
150380,52529
150437,787608
150497,979658
150548,466844
150711,976119
151217,880029
151225,499583
151303,653425
151511,247553
151539,609222
151701,216671
151800,114725
151826,68182
151990,789743
152159,713229
152259,931503
152405,361400
152434,118713
152734,174115
152809,707048
153137,421602
153280,719498
153509,493174
153624,569646
153684,756362
153770,501897
153852,287824
153953,789150
154112,397506
154207,525645
154250,37977
154253,753678
154271,18293
154373,432317
154605,493859
154611,157568
154765,971812
154977,102555
154981,26280
155075,421287
155223,852874
155246,713638
155306,71915
155391,683698
155475,503700
155517,212528
155680,998826
155915,726258
156193,937573
156235,59759
156591,474783
156746,533449
156769,163810
156782,357370
156869,6889
156984,895040
157027,256379
157050,119622
157201,418785
157288,133029
157358,209858
157400,856546
157752,627344
157754,310345
157815,71254
157834,936593
157894,833723
157971,47069
158161,20121
158305,553995
158456,269003
158475,713804
158685,265955
159084,989589
159144,800489
159157,503998
159169,856826
159189,191884
159268,856456
159325,593162
159416,870719
159540,164188
159738,120642
159814,880177
159873,423162
160018,995406
160399,262474
160485,806817
160489,765025
160703,954405
160888,843073
160987,846101
161028,769442
161098,716873
161243,842203
161296,958068
161357,805693
161819,410739
161831,412504
161886,813977
162082,123122
162186,569169
162312,909827
162412,763035
162416,809818
162494,251568
162568,419116
162728,653086
162842,88509
163047,784311
163270,931935
163452,880343
163510,521687
163799,698303
163823,142397
163833,28267
163845,276785
163898,147258
163938,394923
163975,145039
163984,113029
164035,310531
164058,8974
164074,954163
164143,89852
164223,600980
164349,513383
164353,593729
164443,518454
164497,904631
164515,484839
164720,847071
164752,519379
164836,271911
165035,759453
165139,656486
165140,543723
165303,703712
165320,186077
165486,563776
165523,252198
165605,471164
165612,977111
165702,96675
165858,330978
165859,453394
165897,329401
166085,397564
166092,582143
166124,572061
166134,7824
166160,193199
166179,19706
166265,102102
166305,288508
166362,766321
166567,420916
166714,259
167006,568357
167033,239892
167326,862678
167434,816419
167454,191311
167457,812731
167733,916037
167892,689613
167973,784605
168073,608509
168101,245099
168288,884263
168392,690704
168473,291726
169020,68286
169038,251773
169301,379716
169304,904996
169315,317061
169325,245320
169366,257297
169548,667667
169623,651767
169691,198550
169706,512592
169786,205829
169905,735053
169921,687559
170048,848576
170060,864593
170087,12193
170380,967680
170404,566719
170417,408493
170439,64367
170490,78550
170537,982292
171004,883249
171050,785328
171236,64321
171272,686769
171325,379673
171340,460267
171341,759159
171404,360902
171530,221089
171544,917166
171746,673931
171904,463673
172035,102607
172091,639953
172361,726969
172526,450204
172559,770017
172572,343026
172711,462797
172855,277151
172862,887193
172980,102338
173179,609480
173190,7330
173218,976477
173266,368432
173280,798886
173301,464387
173317,103200
173449,289559
173473,952226
173603,684033
173812,872014
174015,344082
174020,396253
174023,819873
174319,924768
174400,744000
174542,446934
174721,918435
174780,170783
174810,470328
174832,698631
174861,531474
174942,801473
175095,805673
175151,526967
175279,509529
175309,540863
175519,4792
175523,605136
175565,109510
175578,542436
175614,536244
175631,762332
175768,154818
175776,370224
175815,449287
175849,198319
176014,435699
176174,211458
176252,221502
176277,769183
176334,695596
176432,120434
176618,626746
176622,706598
176708,150334
176809,914517
176924,230110
177030,252741
177103,632004
177315,543587
177330,83206
177584,688229
177675,825230
177730,731504
178276,310845
178385,856438
178398,535587
178617,974370
178682,932488
178709,648492
178967,879991
179008,400713
179097,3617
179419,741722
179458,829783
179561,56375
179707,226795
179739,32260
179764,457845
179984,594530
180027,146908
180216,698391
180378,637443
180442,229289
180580,773029
180723,270316
180845,441585
180918,677101
180920,177937
180940,598225
181071,429783
181169,590643
181173,334830
181178,144972
181214,979404
181311,121002
181443,275850
181504,582461
181605,977410
181649,574935
181687,540562
181940,948413
182223,588969
182228,808963
182349,502679
182412,452401
182587,743834
182662,571653
182714,891097
182840,653945
182936,173035
182948,949233
183147,385900
183270,441059
183287,127380
183438,630682
183552,647732
183673,323517
183693,132308
183700,786296
183712,26587
183716,2135
184001,611420
184005,140668
184032,997312
184050,738324
184077,4961
184153,152643
184197,872278
184203,855525
184388,358372
184615,426996
184686,455388
184725,350737
184814,287126
184903,589421
184937,123819
185148,405196
185360,725491
185369,727357
185565,419327
185855,946420
185942,616299
186060,569870
186087,761332
186162,485778
186296,866822
186335,228087
186588,265488
186598,164617
186839,744449
186924,152426
186947,685728
187142,598270
187299,510339
187387,42493
187469,623566
187512,970029
187722,91455
187767,890737
187817,548877
187826,864207
187861,243765
188000,690704
188100,266718
188162,163624
188171,358264
188218,476248
188275,208653
188513,157974
188875,378302
188907,771010
189230,332724
189284,860649
189316,897482
189389,482877
189917,554011
189969,259969
190159,140040
190305,374580
190335,766951
190430,547712
190435,352057
190565,487645
190575,695176
190944,313928
191027,579519
191173,578210
191280,858500
191313,22164
191398,405854
191530,640799
191551,989833
191721,361566
191750,862395
191807,694199
191929,767843
191948,437082
192170,122355
192639,268241
192681,635686
192683,579811
193079,74102
193180,902171
193246,367229
193257,743277
193347,798541
193493,761945
193602,738125
193709,242427
193739,57606
193793,503378
193889,420344
194057,123485
194104,152566
194186,1308
194208,958407
194246,364427
194250,767183
194258,390298
194366,985616
194367,110617
194615,455806
194851,379498
194872,614303
194938,904381
195175,399942
195253,826324
195361,743927
195363,466306
195434,499488
195466,232430
195594,167920
195599,938250
195937,214814
195977,787440
196070,189358
196310,506890
196450,524519
196652,293463
196660,22618
196765,430106
196781,705077
197033,300104
197089,788729
197161,539728
197196,179867
197452,479732
197745,741316
197786,385069
197808,52911
197830,205794
198025,832419
198032,95818
198107,427211
198146,960963
198223,972317
198298,578192
198636,956734
198675,819465
198686,844484
198733,570359
198813,299182
198817,775538
198861,200977
198905,173647
198928,749371
198957,402652
199081,190812
199099,678693
199297,79075
199367,197843
199391,893289
199557,465201
199656,243876
199673,582789
199821,477511
199845,374631
199873,348707
199902,520175
200270,391867
200292,457225
200555,235530
200585,512892
200614,103682
200741,11040
200759,244915
200836,631851
200927,234481
200939,2379
200972,55544
201041,855772
201078,313130
201169,756823
201189,765357
201377,197049
201504,785941
201559,671864
201728,724156
201746,404090
201828,310224
201843,246185
202172,632983
202254,231014
202256,188133
202283,663656
202640,504835
202686,688299
202715,743562
202716,514220
202908,107644
203038,667433
203136,829313
203176,828278
203179,190339
203203,19594
203210,154924
203308,844244
203453,293723
203617,401743
203638,934629
203713,11598
203868,80332
203872,627047
204226,476053
204410,594232
204551,184891
204618,387712
204631,979380
204702,654243
204888,215479
204916,490495
204973,219164
205015,444335
205054,186944
205092,781818
205118,693518
205429,319388
205492,433096
205613,306488
205638,104655
205714,847780
205790,965509
205884,118146
205904,193035
205938,67168
205962,283906
206014,645620
206019,195178
206139,553747
206258,5933
206368,440041
206446,186070
206480,385756
206484,947285
206507,448663
206536,198839
206764,311097
206796,664827
206832,638372
206997,546527
207063,423286
207071,75179
207140,394065
207303,372562
207345,455302
207410,508288
207434,179883
207559,466626
207626,793105
207748,167005
208067,669085
208113,999867
208368,74003
208445,818007
208519,59153
208534,142118
208720,308723
208734,302503
208785,673887
208868,806274
208886,765584
209041,529516
209315,263897
209349,413566
209405,402218
209446,837665
209462,793578
209565,626823
209608,83519
209657,947758
209785,231595
209820,356803
209826,608415
209885,672090
210061,11746
210076,452371
210111,722204
210114,142132
210275,974950
210456,351776
210467,947827
210554,886898
210660,420751
210805,397684
210811,289614
210915,869577
210945,579326
211078,940016
211125,242403
211155,263364
211216,730445
211263,170279
211337,816361
211348,504791
211519,176923
211982,698561
212047,95113
212057,870168
212225,118411
212374,553792
212408,1817
212424,236985
212449,617038
212492,265656
212495,358191
212860,920459
212971,725216
213025,801610
213040,204413
213050,704634
213130,208996
213266,567120
213362,693676
213394,896115
213422,738611
213458,189855
213493,736069
213575,580759
213579,886037
213600,942982
213653,924871
213792,860572
213863,113266
213868,605168
213922,568866
214041,617657
214198,876562
214217,291611
214382,717181
214439,693469
214452,269204
214560,435121
214662,460784
214682,918798
214688,312150
214703,947948
214772,881795
214815,393948
214951,819727
215046,434832
215081,450603
215155,456398
215160,974895
215243,882204
215500,468986
215510,161046
215552,351327
215564,268277
215849,65070
216023,372257
216026,141008
216108,156229
216142,878559
216162,521972
216352,980603
216516,318418
216742,989566
216780,840581
216889,245352
216993,398978
217096,987268
217104,744792
217166,826380
217209,759354
217223,783672
217247,987462
217352,493708
217543,319095
217596,441386
217739,956936
217839,25064
217937,101404
218361,172922
218427,308162
218436,773350
218621,516021
218699,645856
218739,922660
218820,85416
218820,564025
218916,266697
219156,135418
219167,621849
219190,332338
219269,36078
219444,315364
219455,80904
219487,729531
219637,676831
219694,899094
219858,145214
220094,722228
220195,403
220227,47470
220233,127337
220249,277849
220310,601383
220343,622390
220467,710073
220508,33480
220523,181871
220559,978703
220560,804549
220585,309811
220659,795213
220894,282534
221125,987195
221164,865457
221466,427322
221664,686898
221683,5607
221780,277219
221829,533202
221842,917141
221919,255096
222024,593610
222198,163322
222307,122507
222391,292578
222401,189258
222587,990979
222594,654449
222629,277539
222708,983855
222720,93397
222725,248141
222837,25116
222864,123277
222944,7774
222947,402149
223032,514711
223038,691851
223047,866590
223170,787260
223199,447646
223334,865137
223355,201874
223467,935842
223514,847367
223517,356716
223561,788452
223765,941327
223822,872283
223825,945491
223868,928073
223869,498080
223942,274463
223998,361717
224208,691511
224262,342517
224367,60748
224448,206873
224676,216240
224755,798063
224760,202155
224776,17236
224809,222635
224866,240620
224904,152089
224960,659416
224967,829228
225060,743368
225078,272489
225165,536913
225195,919573
225229,419804
225302,891806
225570,913310
225654,31243
225672,305772
225757,4371
225777,590388
226448,382128
226522,578817
226630,643755
226685,482447
226926,720292
227010,553885
227298,326853
227304,530902
227425,124998
227473,761686
227525,294717
227817,288561
227908,271434
227989,987957
228060,935192
228411,453770
228441,550761
228506,918124
228552,227227
228700,862042
228728,277673
228737,894273
228812,958367
228814,529466
229110,777828
229120,240023
229176,786771
229183,452613
229256,441778
229497,22693
229522,648487
229630,927400
229734,979031
229852,694506
229998,207590
230058,145474
230482,279967
230563,75171
230621,347823
230709,648390
230720,990908
230810,215464
230994,413626
231012,191462
231082,896915
231093,514756
231125,104748
231442,349524
231511,521444
231612,416595
231624,544234
231668,660155
231707,704383
231732,429908
231735,566930
231838,403825
231858,728082
